Start,End,Open,High,Low,Close,Volume,Volatility,Impact,Rolling_std,Price_to_Volume,Cluster
2023-09-14,2023-09-15,26201.61,26730.83,26167.49,26528.22,0.17060149911646366,0.04694544435341472,1.556377181104662e-08,289.0311481870368,155498.16465499002,1
2023-09-13,2023-09-14,25798.88,26374.39,25798.88,26222.02,0.1779787459261237,0.04795962061957898,1.5240989981166137e-08,300.5717181725509,147332.31130240893,1
2023-09-12,2023-09-13,25162.48,26414.35,25134.82,25854.29,0.20203236754393483,0.10662850927241925,2.985118988486241e-08,301.07969972923763,127971.0291687673,1
2023-09-08,2023-09-09,26234.64,26382.02,25725.47,25910.51,0.15957793759453723,0.054713017875944174,1.9391876544129637e-08,423.25269281466814,162368.99906448586,1
2023-09-01,2023-09-02,25966.92,26131.86,25400.9,25816.57,0.20918611272429938,0.06091390990267329,1.6470008425706494e-08,152.745124958807,123414.35893512404,1
2023-08-31,2023-09-01,27290.07,27442.53,25827.45,25936.45,0.1758373615133243,0.1345912739487928,4.329232895750224e-08,77.64644402751397,147502.49763065646,1
2023-08-30,2023-08-31,27724.97,27740.45,27084.15,27316.23,0.24206627687192642,0.05469218434541491,1.2779231764196234e-08,551.9645607874752,112846.07816086915,1
2023-08-29,2023-08-30,26110.0,28005.42,25923.02,27718.23,0.1902687341850242,0.17353497589652905,5.15854435677842e-08,808.0137601807547,145679.37353830182,1
2023-08-24,2023-08-25,26450.06,26556.64,25964.98,26141.53,0.23006756100554648,0.049305466691769335,1.2121385620245635e-08,708.4241592358565,113625.44934950555,1
2023-08-23,2023-08-24,26122.54,26778.01,25805.06,26417.4,0.23237086089480066,0.08107993411377623,1.9735336672498297e-08,609.5144809627926,113686.37142485662,1
2023-08-22,2023-08-23,26134.05,26134.05,25593.79,26048.09,0.20152148092439265,0.04502209281495323,1.263611374400942e-08,134.28741737518567,129257.13864604235,1
2023-08-21,2023-08-22,26182.79,26201.86,25879.48,26123.45,0.18371903949745105,0.026865254288092236,8.270720347937173e-09,134.3036489543017,142192.393730441,1
2023-08-20,2023-08-21,26085.18,26267.33,26002.03,26180.0,0.17081304630696706,0.02210854259765161,7.320544084514872e-09,134.2294001524803,153266.98145147582,1
2023-08-19,2023-08-20,26069.23,26253.26,25814.25,26090.63,0.22481185751967867,0.03658451295060268,9.204285615949123e-09,126.161938221354,116055.39978119786,1
2023-08-18,2023-08-19,26659.85,26784.23,25721.53,26058.26,0.33149191131666816,0.0885591715737811,1.511055832294489e-08,126.15701882426515,78609.03723562359,1
2023-08-17,2023-08-18,28764.02,28768.44,25458.37,26610.04,0.22759188018545806,0.27584177759595874,6.855128519477514e-08,213.87235959471644,116919.98843858685,1
2023-08-16,2023-08-17,29201.98,29257.43,28736.49,28736.49,0.18645400311676602,0.04341207757565199,1.3168789177359141e-08,983.8639452535956,154121.06749997693,1
2023-08-15,2023-08-16,29421.04,29454.28,29121.17,29200.8,0.20438397115675247,0.027759429418408067,7.681981873940808e-09,1364.1575466926254,142872.26065102933,1
2023-08-14,2023-08-15,29295.94,29686.03,29162.07,29430.95,0.1834364859417235,0.0436637466244455,1.34629978693308e-08,1567.601723078391,160442.18165708872,1
2023-08-10,2023-08-11,29576.05,29709.96,29379.58,29455.74,0.20143976577606654,0.02753192726502827,7.730375467405238e-09,257.94328476446776,146226.04373331583,1
